BENCHMARK, START_STVARS, LTL2SMV_STVARS, LTL2SMV_TIME, CIRCUIT_STVARS, CIRCUIT_TIME
"benchmarks_wbs/wbs_arch2.ltl_89.vmt", 27, 31, 0.155, 128, 2.655
"benchmarks_wbs/wbs_arch2.ltl_8.vmt", 89, 103, 2.571, 589, 25.575
"benchmarks_wbs/wbs_arch2.ltl_90.vmt", 27, 31, 0.192, 128, 1.434
"benchmarks_wbs/wbs_arch2.ltl_91.vmt", 27, 31, 0.153, 128, 2.507
"benchmarks_wbs/wbs_arch2.ltl_92.vmt", 27, 31, 0.134, 128, 2.528
"benchmarks_wbs/wbs_arch2.ltl_93.vmt", 27, 31, 0.199, 128, 2.545
"benchmarks_wbs/wbs_arch2.ltl_94.vmt", 27, 31, 0.188, 128, 2.324
"benchmarks_wbs/wbs_arch2.ltl_95.vmt", 27, 31, 0.215, 128, 2.725
"benchmarks_wbs/wbs_arch2.ltl_96.vmt", 14, 18, 0.165, 183, 3.522
"benchmarks_wbs/wbs_arch2.ltl_97.vmt", 149, 153, 0.955, 2206, 612.363
"benchmarks_wbs/wbs_arch2.ltl_98.vmt", 149, 153, 1.395, 2206, 614.169
"benchmarks_wbs/wbs_arch2.ltl_99.vmt", 149, 153, 1.181, 2206, 455.872
"benchmarks_wbs/wbs_arch2bis.ltl_100.vmt", 150, 155, 0.809, 268, 6.335
"benchmarks_wbs/wbs_arch2bis.ltl_101.vmt", 150, 155, 0.519, 252, 7.300
"benchmarks_wbs/wbs_arch2bis.ltl_102.vmt", 149, 153, 1.250, 1918, 313.984
"benchmarks_wbs/wbs_arch2bis.ltl_103.vmt", 149, 153, 2.024, 1918, 306.502
"benchmarks_wbs/wbs_arch2bis.ltl_104.vmt", 150, 155, 0.693, 194, 2.262
"benchmarks_wbs/wbs_arch2bis.ltl_105.vmt", 150, 157, 0.870, 205, 2.654
"benchmarks_wbs/wbs_arch2bis.ltl_106.vmt", 150, 155, 0.929, 194, 2.285
"benchmarks_wbs/wbs_arch2bis.ltl_107.vmt", 150, 157, 0.826, 205, 2.830
"benchmarks_wbs/wbs_arch2bis.ltl_108.vmt", 150, 155, 1.020, 194, 2.330
"benchmarks_wbs/wbs_arch2bis.ltl_109.vmt", 150, 157, 0.822, 205, 2.565
"benchmarks_wbs/wbs_arch2bis.ltl_10.vmt", 89, 103, 1.331, 593, 33.506
"benchmarks_wbs/wbs_arch2bis.ltl_110.vmt", 150, 155, 0.720, 194, 1.685
"benchmarks_wbs/wbs_arch2bis.ltl_111.vmt", 150, 157, 0.584, 205, 1.573
"benchmarks_wbs/wbs_arch2bis.ltl_112.vmt", 150, 155, 0.636, 194, 1.408
"benchmarks_wbs/wbs_arch2bis.ltl_113.vmt", 150, 157, 0.827, 205, 2.263
"benchmarks_wbs/wbs_arch2bis.ltl_114.vmt", 150, 155, 0.585, 194, 2.236
"benchmarks_wbs/wbs_arch2bis.ltl_115.vmt", 150, 157, 0.635, 205, 1.607
"benchmarks_wbs/wbs_arch2bis.ltl_116.vmt", 150, 155, 1.004, 194, 2.080
"benchmarks_wbs/wbs_arch2bis.ltl_117.vmt", 150, 157, 0.541, 205, 1.672
"benchmarks_wbs/wbs_arch2bis.ltl_118.vmt", 150, 155, 0.636, 194, 1.518
"benchmarks_wbs/wbs_arch2bis.ltl_119.vmt", 150, 157, 0.623, 205, 2.890
"benchmarks_wbs/wbs_arch2bis.ltl_120.vmt", 149, 153, 0.818, 350, 15.594
"benchmarks_wbs/wbs_arch2bis.ltl_121.vmt", 44, 44, 0.021, 47, 1.204
"benchmarks_wbs/wbs_arch2bis.ltl_122.vmt", 44, 44, 0.022, 47, 1.151
"benchmarks_wbs/wbs_arch2bis.ltl_123.vmt", 44, 44, 0.019, 47, 1.449
"benchmarks_wbs/wbs_arch2bis.ltl_124.vmt", 44, 44, 0.022, 47, 0.761
